province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Hubei,2016,1.0,1.0,王晓东 / 许达哲,蒋超良,1.0,1.0,1,0.0,0.0
Hubei,2017,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hubei,2018,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hubei,2019,,,,,,,0,,
Hubei,2020,,,,,,,0,,
Hubei,2021,,,,,,,0,,
Hubei,2022,,,,,,,0,,
Hubei,2023,,,,,,,0,,
Hunan,2000,0.0,0.0,,,0.0,0.0,1,,
Hunan,2001,1.0,0.0,张云川,,1.0,0.0,1,,0.0
Hunan,2002,0.0,0.0,,,0.0,0.0,1,,1.0
Hunan,2003,1.0,0.0,周伯华,,1.0,0.0,1,,0.0
Hunan,2004,0.0,0.0,,,0.0,0.0,1,,1.0
Hunan,2005,0.0,1.0,,张春贤,1.0,0.0,1,0.0,2.0
Hunan,2006,1.0,0.0,周强,,1.0,0.0,1,1.0,0.0
Hunan,2007,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Hunan,2008,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Hunan,2009,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Hunan,2010,1.0,1.0,徐守盛,周强,1.0,1.0,1,0.0,0.0
Hunan,2011,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hunan,2012,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hunan,2013,1.0,1.0,杜家毫,徐守盛,1.0,1.0,1,0.0,0.0
Hunan,2014,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hunan,2015,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hunan,2016,0.0,1.0,,杜家毫,1.0,0.0,1,0.0,3.0
Hunan,2017,0.0,0.0,,,0.0,0.0,1,1.0,4.0
Hunan,2018,0.0,0.0,,,0.0,0.0,1,2.0,5.0
Hunan,2019,,,,,,,0,,
Hunan,2020,,,,,,,0,,
Hunan,2021,,,,,,,0,,
Hunan,2022,,,,,,,0,,
Hunan,2023,,,,,,,0,,
Jiangsu,2000,0.0,1.0,,回良玉,1.0,0.0,1,0.0,
Jiangsu,2001,0.0,0.0,,,0.0,0.0,1,1.0,
Jiangsu,2002,1.0,1.0,梁保华,李源潮,1.0,1.0,1,0.0,0.0
Jiangsu,2003,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jiangsu,2004,0.0,0.0,,,0.0,0.0,1,2.0,2.0
