province,province_cn,year,month,series_type,variable,value,unit,code
Hebei,河北,2020,11,power_output,power_output_jan_nov_10k_kwh,4937613.0,万千瓦时,S5151457
Hebei,河北,2020,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1268.0,小时,S5150471
Hebei,河北,2020,11,wind_utilization_hours,wind_utilization_hours,1892.0,小时,S5132511
Hebei,河北,2020,12,solar_utilization_hours,solar_utilization_hours_jan_nov,1336.0,小时,S5150471
Hebei,河北,2020,12,wind_utilization_hours,wind_utilization_hours,2145.0,小时,S5132511
Hebei,河北,2021,2,power_output,power_output_jan_nov_10k_kwh,1152386.0,万千瓦时,S5151457
Hebei,河北,2021,2,solar_utilization_hours,solar_utilization_hours_jan_nov,157.0,小时,S5150471
Hebei,河北,2021,2,wind_utilization_hours,wind_utilization_hours,447.0,小时,S5132511
Hebei,河北,2021,3,power_output,power_output_jan_nov_10k_kwh,1687797.0,万千瓦时,S5151457
Hebei,河北,2021,3,solar_utilization_hours,solar_utilization_hours_jan_nov,248.0,小时,S5150471
Hebei,河北,2021,3,wind_utilization_hours,wind_utilization_hours,632.0,小时,S5132511
Hebei,河北,2021,4,power_output,power_output_jan_nov_10k_kwh,2188571.0,万千瓦时,S5151457
Hebei,河北,2021,4,solar_utilization_hours,solar_utilization_hours_jan_nov,350.0,小时,S5150471
Hebei,河北,2021,4,wind_utilization_hours,wind_utilization_hours,835.0,小时,S5132511
Hebei,河北,2021,5,power_output,power_output_jan_nov_10k_kwh,2785846.0,万千瓦时,S5151457
Hebei,河北,2021,5,solar_utilization_hours,solar_utilization_hours_jan_nov,465.0,小时,S5150471
Hebei,河北,2021,5,wind_utilization_hours,wind_utilization_hours,1074.0,小时,S5132511
Hebei,河北,2021,6,power_output,power_output_jan_nov_10k_kwh,3280104.0,万千瓦时,S5151457
Hebei,河北,2021,6,solar_utilization_hours,solar_utilization_hours_jan_nov,569.0,小时,S5150471
Hebei,河北,2021,6,wind_utilization_hours,wind_utilization_hours,1237.0,小时,S5132511
Hebei,河北,2021,7,power_output,power_output_jan_nov_10k_kwh,3744354.0,万千瓦时,S5151457
Hebei,河北,2021,7,solar_utilization_hours,solar_utilization_hours_jan_nov,663.0,小时,S5150471
Hebei,河北,2021,7,wind_utilization_hours,wind_utilization_hours,1342.0,小时,S5132511
Hebei,河北,2021,8,power_output,power_output_jan_nov_10k_kwh,4148605.0,万千瓦时,S5151457
Hebei,河北,2021,8,solar_utilization_hours,solar_utilization_hours_jan_nov,765.0,小时,S5150471
Hebei,河北,2021,8,wind_utilization_hours,wind_utilization_hours,1431.0,小时,S5132511
Hebei,河北,2021,9,power_output,power_output_jan_nov_10k_kwh,4491385.0,万千瓦时,S5151457
Hebei,河北,2021,9,solar_utilization_hours,solar_utilization_hours_jan_nov,849.0,小时,S5150471
Hebei,河北,2021,9,wind_utilization_hours,wind_utilization_hours,1539.0,小时,S5132511
Hebei,河北,2021,10,power_output,power_output_jan_nov_10k_kwh,4893560.0,万千瓦时,S5151457
Hebei,河北,2021,10,solar_utilization_hours,solar_utilization_hours_jan_nov,940.0,小时,S5150471
Hebei,河北,2021,10,wind_utilization_hours,wind_utilization_hours,1684.0,小时,S5132511
Hebei,河北,2021,11,power_output,power_output_jan_nov_10k_kwh,5504512.0,万千瓦时,S5151457
Hebei,河北,2021,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1029.0,小时,S5150471
Hebei,河北,2021,11,wind_utilization_hours,wind_utilization_hours,1932.0,小时,S5132511
Hebei,河北,2021,12,wind_utilization_hours,wind_utilization_hours,2208.0,小时,S5132511
Hebei,河北,2022,2,power_output,power_output_jan_nov_10k_kwh,1261338.0,万千瓦时,S5151457
Hebei,河北,2022,2,solar_utilization_hours,solar_utilization_hours_jan_nov,177.0,小时,S5150471
Hebei,河北,2022,2,wind_utilization_hours,wind_utilization_hours,355.0,小时,S5132511
Hebei,河北,2022,3,power_output,power_output_jan_nov_10k_kwh,1928856.0,万千瓦时,S5151457
Hebei,河北,2022,3,solar_utilization_hours,solar_utilization_hours_jan_nov,281.0,小时,S5150471
Hebei,河北,2022,3,wind_utilization_hours,wind_utilization_hours,591.0,小时,S5132511
Hebei,河北,2022,4,power_output,power_output_jan_nov_10k_kwh,2555604.0,万千瓦时,S5151457
Hebei,河北,2022,4,solar_utilization_hours,solar_utilization_hours_jan_nov,408.0,小时,S5150471
Hebei,河北,2022,4,wind_utilization_hours,wind_utilization_hours,822.0,小时,S5132511
Hebei,河北,2022,5,power_output,power_output_jan_nov_10k_kwh,3179860.0,万千瓦时,S5151457
Hebei,河北,2022,5,solar_utilization_hours,solar_utilization_hours_jan_nov,545.0,小时,S5150471
Hebei,河北,2022,5,wind_utilization_hours,wind_utilization_hours,1052.0,小时,S5132511
Hebei,河北,2022,6,power_output,power_output_jan_nov_10k_kwh,3737131.0,万千瓦时,S5151457
Hebei,河北,2022,6,solar_utilization_hours,solar_utilization_hours_jan_nov,671.0,小时,S5150471
Hebei,河北,2022,6,wind_utilization_hours,wind_utilization_hours,1204.0,小时,S5132511
Hebei,河北,2022,7,power_output,power_output_jan_nov_10k_kwh,4241286.0,万千瓦时,S5151457
Hebei,河北,2022,7,solar_utilization_hours,solar_utilization_hours_jan_nov,799.0,小时,S5150471
Hebei,河北,2022,7,wind_utilization_hours,wind_utilization_hours,1316.0,小时,S5132511
Hebei,河北,2022,8,power_output,power_output_jan_nov_10k_kwh,4841230.0,万千瓦时,S5151457
Hebei,河北,2022,8,solar_utilization_hours,solar_utilization_hours_jan_nov,910.0,小时,S5150471
Hebei,河北,2022,8,wind_utilization_hours,wind_utilization_hours,1442.0,小时,S5132511
Hebei,河北,2022,9,power_output,power_output_jan_nov_10k_kwh,5408055.0,万千瓦时,S5151457
Hebei,河北,2022,9,solar_utilization_hours,solar_utilization_hours_jan_nov,1046.0,小时,S5150471
Hebei,河北,2022,9,wind_utilization_hours,wind_utilization_hours,1588.0,小时,S5132511
Hebei,河北,2022,10,power_output,power_output_jan_nov_10k_kwh,6028767.0,万千瓦时,S5151457
Hebei,河北,2022,10,solar_utilization_hours,solar_utilization_hours_jan_nov,1154.0,小时,S5150471
Hebei,河北,2022,10,wind_utilization_hours,wind_utilization_hours,1782.0,小时,S5132511
Hebei,河北,2022,11,power_output,power_output_jan_nov_10k_kwh,6618747.0,万千瓦时,S5151457
Hebei,河北,2022,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1234.17,小时,S5150471
