province,year,bank_category,shock_assets_growth_loo,shock_assets_cum2011_loo,shock_outlets_growth_loo,shock_outlets_cum2011_loo
Beijing,2019,city,0.12207737789436912,1.289947526740372,0.024712696836058257,0.733886782396624
Beijing,2019,foreign,0.8320932753815136,0.585041310740241,1.2939669262298956,1.1874690774952494
Beijing,2019,joint_stock,0.1849806039228472,0.7133562863778078,0.03444412425807286,0.7659998188200703
Beijing,2019,large,0.15798130835272595,0.6007838371932603,0.03511765179461257,0.07930836286967136
Beijing,2019,policy,0.01393014234580292,0.9327939492235675,-0.03239572739539387,0.018221297270027748
Beijing,2019,postal,-0.10352270213802228,0.7175675990506587,-0.1831918031285742,-0.14425636591211521
Beijing,2019,rural,0.041321952463864164,0.9960580456002806,-0.037349666835298834,0.04418398113838862
Beijing,2020,city,0.08189698210034635,1.3718445088407183,0.0008647847842659928,0.73475156718089
Beijing,2020,foreign,-0.22432896660580504,0.360712344134436,-1.3011047152781883,-0.11363563778293884
Beijing,2020,joint_stock,0.028790707790447456,0.7421469941682552,-0.0530689681302281,0.7129308506898422
Beijing,2020,large,0.06658131478113383,0.6673651519743942,-0.06028308440400032,0.019025278465671036
Beijing,2020,policy,0.044778619916248985,0.9775725691398165,-0.03953940439728143,-0.021318107127253683
Beijing,2020,postal,0.26898398500458853,0.9865515840552472,0.10750343822643948,-0.03675292768567573
Beijing,2020,rural,0.1354152023380717,1.1314732479383522,0.005832244201695147,0.050016225340083764
Beijing,2021,city,0.10735267281034133,1.4791971816510596,0.06066820461285971,0.7954197717937497
Beijing,2021,foreign,0.0074719730553205466,0.3681843171897565,0.09557063038529989,-0.018065007397638944
Beijing,2021,joint_stock,0.07645150838554571,0.818598502553801,0.03233107214593467,0.7452619228357769
Beijing,2021,large,0.09167391093515498,0.7590390629095491,-0.004760979275374666,0.01426429919029637
Beijing,2021,policy,0.0570040173462516,1.034576586486068,0.09027492243868007,0.06895681531142639
Beijing,2021,postal,0.11016674905696888,1.0967183331122161,0.008749997441505286,-0.028002930244170443
Beijing,2021,rural,0.10229615666082914,1.2337694045991814,0.0058828263247256984,0.05589905166480946
Beijing,2022,city,0.10298807790547748,1.582185259556537,0.03477667951567831,0.830196451309428
Beijing,2022,foreign,0.030558312754724426,0.39874262994448095,-0.005221943981151611,-0.023286951378790555
Beijing,2022,joint_stock,0.06553348100017864,0.8841319835539796,0.013219063570266698,0.7584809864060436
Beijing,2022,large,0.12661806311603385,0.885657126025583,0.0017090515508026982,0.01597335074109907
Beijing,2022,policy,0.06066997238700189,1.09524655887307,-0.051266726553226505,0.017690088758199884
Beijing,2022,postal,0.11302519454789284,1.209743527660109,-0.002296853700801904,-0.030299783944972347
Beijing,2022,rural,0.08323006623372464,1.316999470832906,-0.023972336977363895,0.03192671468744557
Chongqing,2005,city,,-1.5997635233584475,,
Chongqing,2005,foreign,,-1.2335045833963019,,
Chongqing,2005,joint_stock,,-1.3092317420315212,,
Chongqing,2005,large,,-1.0360459238122655,,
Chongqing,2005,policy,,-1.1182292372006124,,
Chongqing,2005,postal,,-1.1478494393165448,,
Chongqing,2005,rural,,-1.2967348429806975,,
Chongqing,2006,city,0.2574206990279091,-1.3423428243305384,,
Chongqing,2006,foreign,0.402818597086986,-0.8306859863093159,,
Chongqing,2006,joint_stock,0.28592855784314075,-1.0233031841883804,,
Chongqing,2006,large,0.20016545220630455,-0.8358804716059609,,
Chongqing,2006,policy,0.09884369324007558,-1.0193855439605368,,
Chongqing,2006,postal,0.22020111438130385,-0.927648324935241,,
Chongqing,2006,rural,0.2689479289582941,-1.0277869140224034,,
Chongqing,2007,city,0.21327168976504396,-1.1290711345654945,,-0.13034252197037333
Chongqing,2007,foreign,0.34393621882113123,-0.48674976748818466,,-0.2986971326824577
Chongqing,2007,joint_stock,0.32664686090092054,-0.6966563232874599,,-0.11733482799232497
Chongqing,2007,large,0.16202637221527816,-0.6738540993906827,,-0.006275032042733386
Chongqing,2007,policy,0.12387101141422541,-0.8955145325463114,,0.009261847738533113
Chongqing,2007,postal,0.07805211331870154,-0.8495962116165394,,-0.04046684415327384
Chongqing,2007,rural,0.13038074133751643,-0.897406172684887,,0.01102142495038727
Chongqing,2008,city,0.20758915562017854,-0.9214819789453159,-0.05794189936851346,-0.1882844213388868
Chongqing,2008,foreign,0.11431317138578478,-0.3724365961023999,0.14961963446765747,-0.1490774982148002
Chongqing,2008,joint_stock,0.026093152955565913,-0.6705631703318939,-0.14382947061591445,-0.2611642986082394
Chongqing,2008,large,0.18512010119439104,-0.4887339981962917,-0.0012666905503291304,-0.0075417225930625165
Chongqing,2008,policy,0.2894569497982644,-0.606057582748047,-0.010357138099947427,-0.001095290361414314
Chongqing,2008,postal,0.2620644145465558,-0.5875317970699836,-0.1518662513751945,-0.19233309552846833
Chongqing,2008,rural,0.24500105243070536,-0.6524051202541816,-0.028499907973358773,-0.017478483022971503
Chongqing,2009,city,0.300031954835692,-0.6214500241096239,0.037177883892857366,-0.15110653744602942
Chongqing,2009,foreign,0.05642365812002659,-0.3160129379823733,-0.057479029424611916,-0.20655652763941212
Chongqing,2009,joint_stock,0.25071401708415664,-0.4198491532477373,0.18555584301741845,-0.07560845559082097
Chongqing,2009,large,0.2485550813091688,-0.2401789168871229,-0.016685291012613845,-0.024227013605676362
Chongqing,2009,policy,0.2448018738026363,-0.3612557089454107,0.003282278657918525,0.002186988296504211
Chongqing,2009,postal,0.22442397389309932,-0.3631078231768843,0.04875411579250688,-0.14357897973596145
Chongqing,2009,rural,0.2268093349773892,-0.4255957852767924,0.013372758792620232,-0.004105724230351271
Chongqing,2010,city,0.3640371310662953,-0.2574128930433286,0.05322700276404646,-0.09787953468198296
Chongqing,2010,foreign,0.1341998166994074,-0.1818131212829659,0.08833325424754523,-0.11822327339186689
Chongqing,2010,joint_stock,0.1342989971294415,-0.2855501561182958,-0.03752689116418573,-0.1131353467550067
Chongqing,2010,large,0.15891701548207493,-0.08126190140504796,0.020912894509219626,-0.0033141190964567357
Chongqing,2010,policy,0.17885223186587673,-0.18240347707953397,-0.0220881426137991,-0.01990115431729489
Chongqing,2010,postal,0.17233488829828048,-0.1907729348786038,0.11792722136782885,-0.025651758368132604
Chongqing,2010,rural,0.20700237792460108,-0.21859340735219135,-0.012696012684997982,-0.016801736915349252
Chongqing,2011,city,0.2574128930433286,0.0,0.09787953468198296,0.0
Chongqing,2011,foreign,0.1818131212829659,0.0,0.11822327339186689,0.0
Chongqing,2011,joint_stock,0.2855501561182958,0.0,0.1131353467550067,0.0
Chongqing,2011,large,0.08126190140504796,0.0,0.0033141190964567357,0.0
Chongqing,2011,policy,0.18240347707953397,0.0,0.01990115431729489,0.0
Chongqing,2011,postal,0.1907729348786038,0.0,0.025651758368132604,0.0
Chongqing,2011,rural,0.21859340735219135,0.0,0.016801736915349252,0.0
Chongqing,2012,city,0.21816901047275117,0.21816901047275117,0.06468142251205045,0.06468142251205045
Chongqing,2012,foreign,0.12311625077397892,0.12311625077397892,0.045879605750694274,0.045879605750694274
Chongqing,2012,joint_stock,0.20184107388635653,0.20184107388635653,0.10668507076207234,0.10668507076207234
Chongqing,2012,large,0.11785942463940913,0.11785942463940913,0.021699776740744525,0.021699776740744525
Chongqing,2012,policy,0.1480436390598605,0.1480436390598605,-0.0032894766503979156,-0.0032894766503979156
Chongqing,2012,postal,0.18597760899497118,0.18597760899497118,-0.016657343124430568,-0.016657343124430568
Chongqing,2012,rural,0.17646998283952975,0.17646998283952975,-0.005366576459945094,-0.005366576459945094
Chongqing,2013,city,0.14509029501724946,0.36325930549000063,0.11685646008080575,0.1815378825928562
Chongqing,2013,foreign,0.06330789113027002,0.18642414190424894,0.081765954696567,0.12764556044726127
Chongqing,2013,joint_stock,0.13420758175706204,0.33604865564341857,0.09804581150051206,0.2047308822625844
Chongqing,2013,large,0.07481086437463169,0.19267028901404082,0.012933886679270756,0.03463366342001528
Chongqing,2013,policy,0.12902071831700113,0.27706435737686164,0.013093476747019217,0.009804000096621301
Chongqing,2013,postal,0.11434463347853097,0.30032224247350214,0.04828502734071982,0.031627684216289254
Chongqing,2013,rural,0.1690519279477165,0.34552191078724626,0.021027757904365174,0.01566118144442008
Chongqing,2014,city,0.22821403986579547,0.5914733453557961,0.16515344741850768,0.3466913300113639
Chongqing,2014,foreign,0.06647037788742338,0.2528945197916723,0.09267711452530758,0.22032267497256885
Chongqing,2014,joint_stock,0.13640990751575366,0.47245856315917223,0.30315889080950775,0.5078897730720922
Chongqing,2014,large,0.13259677555640792,0.32526706457044874,0.0063716677309297864,0.04100533115094507
Chongqing,2014,policy,0.11993295022164574,0.3969973075985074,0.0010834237246122314,0.010887423821233533
Chongqing,2014,postal,0.3299783339791311,0.6303005764526333,0.0056718911483102374,0.03729957536459949
Chongqing,2014,rural,0.28441673973397563,0.6299386505212219,0.011101357348913155,0.026762538793333235
Chongqing,2015,city,0.21186958817179935,0.8033429335275954,0.08905258313110487,0.43574391314246874
Chongqing,2015,foreign,-0.02077296763231473,0.2321215521593576,-0.005665737535677451,0.2146569374368914
Chongqing,2015,joint_stock,0.1330807142229098,0.605539277382082,0.15991161109076302,0.6678013841628552
Chongqing,2015,large,0.013456553319716846,0.3387236178901656,0.012573820154157644,0.05357915130510271
Chongqing,2015,policy,0.20964494596221428,0.6066422535607217,-0.0016255760827004195,0.009261847738533113
Chongqing,2015,postal,-0.09931764066943138,0.5309829357832019,0.0023738348562236666,0.03967341022082316
Chongqing,2015,rural,0.02356829743997224,0.6535069479611941,0.03120022968777647,0.057962768481109705
Chongqing,2016,city,0.21490045500103072,1.0182433885286262,0.1669213517878827,0.6026652649303514
Chongqing,2016,foreign,0.08234168805878816,0.31446324021814576,0.012235446758838364,0.22689238419572977
Chongqing,2016,joint_stock,0.17232313779471298,0.777862415176795,0.24307944975072182,0.910880833913577
Chongqing,2016,large,0.06772623806441125,0.40644985595457683,-0.021478864796280916,0.032100286508821796
Chongqing,2016,policy,0.13554537626583674,0.7421876298265584,0.0027078272705853834,0.011969675009118497
Chongqing,2016,postal,0.1300934119646282,0.6610763477478301,0.016431386203450415,0.05610479642427357
Chongqing,2016,rural,0.15371058680019267,0.8072175347613868,0.007363531359734665,0.06532629984084437
Chongqing,2017,city,0.10228210453310282,1.120525493061729,0.050173212455774774,0.6528384773861262
Chongqing,2017,foreign,0.09282967847964407,0.40729291869778983,-0.039108465009935145,0.18778391918579462
Chongqing,2017,joint_stock,-0.13996777588613085,0.6378946392906641,-0.09809846079037676,0.8127823731232002
Chongqing,2017,large,0.054529808693192905,0.46097966464776974,0.010376034188979588,0.042476320697801384
Chongqing,2017,policy,0.0703249083997477,0.8125125382263061,0.004855687986658808,0.016825362995777304
Chongqing,2017,postal,0.05113864791893974,0.7122149956667698,-0.009462716887357558,0.046642079536916015
Chongqing,2017,rural,0.08878974232954562,0.8960072770909324,0.009697045682868222,0.07502334552371259
Chongqing,2018,city,0.025081038886376916,1.145606531948106,0.0512370833116389,0.7040755606977651
Chongqing,2018,foreign,-0.5797668878074944,-0.17247396910970458,-0.25702833136077796,-0.06924441217498334
Chongqing,2018,joint_stock,-0.08127915363592386,0.5566154856547403,-0.07086730482202164,0.7419150683011786
Chongqing,2018,large,-0.008502933833547388,0.45247673081422235,0.0025731548522855974,0.04504947555008698
Chongqing,2018,policy,0.05718383580546593,0.869696374031772,0.034905711851868304,0.05173107484764561
Chongqing,2018,postal,0.11087841602713056,0.8230934116939004,0.03749744715002912,0.08413952668694513
Chongqing,2018,rural,0.04755433806487552,0.9435616151558079,0.002549556609748649,0.07757290213346124
Chongqing,2019,city,0.11919010829289967,1.2647966402410056,0.0254324586963115,0.7295080193940766
Chongqing,2019,foreign,0.7214967375692343,0.5490227684595297,1.2062343959419923,1.136989983767009
