province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Xinjiang,新疆,2020,652.0,0.2054,-0.1,345.0,0.109,0.4,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.2,0.105,0.2054,0.109
Xinjiang,新疆,2021,712.0,0.20199999999999999,-0.3,420.0,0.11900000000000001,1.0,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.22,0.125,0.20199999999999999,0.11900000000000001
Xinjiang,新疆,2022,815.0,0.235,3.3,444.0,0.128,0.9,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.23800000000000002,0.133,0.235,0.128
Xinjiang,新疆,2023,,0.225,-1.0,,0.134,0.6,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,,,0.225,0.134
Xizang,西藏,2015,38.0,0.8440000000000001,,4.0,0.08199999999999999,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.8440000000000001,0.08199999999999999
Xizang,西藏,2016,42.0,0.8490000000000001,0.5,5.0,0.10099999999999999,1.9,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.8490000000000001,0.10099999999999999
Xizang,西藏,2017,49.0,0.838,-1.1,8.0,0.14,3.9,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.838,0.14
Xizang,西藏,2018,61.42,0.89,5.2,16.97,0.16899999999999998,2.9,,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.89,0.16899999999999998
Xizang,西藏,2019,69.0,0.887,-0.3,16.0,0.209,4.0,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.887,0.209
Xizang,西藏,2020,72.0,0.871,-1.6,18.0,0.21600000000000003,0.7,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,,,0.871,0.21600000000000003
Xizang,西藏,2021,95.0,0.941,7.0,21.0,0.20800000000000002,-0.8,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,,,0.941,0.20800000000000002
Xizang,西藏,2022,114.0,0.958,1.7,24.0,0.19699999999999998,-1.1,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,,,0.958,0.19699999999999998
Xizang,西藏,2023,,0.941,-1.7,,0.222,2.5,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,,,0.941,0.222
Yunnan,云南,2015,1233.0,0.857,,73.0,0.051,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.857,0.051
Yunnan,云南,2016,1147.0,0.813,0.5,176.0,0.125,7.4,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.813,0.125
Yunnan,云南,2017,1317.0,0.856,4.3,219.0,0.142,1.7,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.856,0.142
Yunnan,云南,2018,1399.74,0.8340000000000001,-2.2,261.86,0.156,1.4,0.115,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.8340000000000001,0.156
Yunnan,云南,2019,1503.0,0.8290000000000001,-0.5,296.0,0.163,0.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.8290000000000001,0.163
Yunnan,云南,2020,1634.0,0.8059999999999999,-2.3,307.0,0.151,-1.2,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.8,0.15,0.8059999999999999,0.151
Yunnan,云南,2021,1657.0,0.775,-3.1,321.0,0.15,-0.1,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.75,0.15,0.775,0.15
Yunnan,云南,2022,1953.0,0.8170000000000001,4.2,289.0,0.121,-2.9,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.731,0.15,0.8170000000000001,0.121
Yunnan,云南,2023,,0.7509999999999999,-6.6,,0.17800000000000002,5.7,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.7,0.17,0.7509999999999999,0.17800000000000002
Zhejiang,浙江,2015,658.0,0.185,,84.0,0.024,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.185,0.024
Zhejiang,浙江,2016,772.0,0.19899999999999998,1.4,138.0,0.036000000000000004,1.2,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.19899999999999998,0.036000000000000004
Zhejiang,浙江,2017,809.0,0.193,-0.6,176.0,0.042,0.6,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.193,0.042
Zhejiang,浙江,2018,826.98,0.17800000000000002,-1.5,259.56,0.053,1.1,0.075,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.17800000000000002,0.053
Zhejiang,浙江,2019,946.0,0.2,1.8,319.0,0.067,1.0,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.2,0.067
Zhejiang,浙江,2020,946.0,0.196,-0.4,362.0,0.075,0.8,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.175,0.075,0.196,0.075
Zhejiang,浙江,2021,1042.0,0.18899999999999997,-0.7,474.0,0.086,1.1,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.185,0.085,0.18899999999999997,0.086
Zhejiang,浙江,2022,1154.0,0.19899999999999998,1.0,609.0,0.105,1.9,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.195,0.098,0.19899999999999998,0.105
Zhejiang,浙江,2023,,0.221,2.2,,0.113,0.8,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.21600000000000003,0.11,0.221,0.113
