outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations
windsolar_gen_sh,3,2013,True,jump,0.8566,85.66,-0.013048866714711393,0.013395774307777464,0.33000529730261186,0.15491023858047442,247,31,169,78
windsolar_gen_sh,3,2013,True,jump,0.8603,86.03,-0.014963345559052635,0.01303955883416229,0.25116072174188,0.1544154758336793,247,31,172,75
windsolar_gen_sh,3,2013,True,jump,0.8639,86.39,-0.012296328992204213,0.012325555836443815,0.31845940946428275,0.15495912739071982,247,31,173,74
windsolar_gen_sh,3,2013,True,jump,0.8676,86.76,-0.00888308997180416,0.010338552020307458,0.3902191882536327,0.15566164460200838,247,31,175,72
windsolar_gen_sh,3,2013,True,jump,0.8713,87.13,-0.011131425362108172,0.009480461665756397,0.24033742891234663,0.15520331581828659,247,31,177,70
windsolar_gen_sh,3,2013,True,jump,0.8749,87.49,-0.009091649677795736,0.008181931242266483,0.2664881788877251,0.15555724148098082,247,31,180,67
windsolar_gen_sh,3,2013,True,jump,0.8786,87.86,-0.009671581082013606,0.010574090290958132,0.3603759275021874,0.15545121859750888,247,31,184,63
windsolar_gen_sh,3,2013,True,jump,0.8823,88.23,-0.010503714079499056,0.010132724420652738,0.2999162421585577,0.15530692848273675,247,31,185,62
windsolar_gen_sh,3,2013,True,jump,0.886,88.6,-0.018795893902579866,0.011356070545264739,0.09789597226329994,0.15319123419364428,247,31,187,60
windsolar_gen_sh,3,2013,True,jump,0.8896,88.96,-0.018795893902579866,0.011356070545264739,0.09789597226329994,0.15319123419364428,247,31,187,60
windsolar_gen_sh,3,2013,True,jump,0.8933,89.33,-0.022742243805731355,0.010375670397880834,0.028388037705160764,0.15161061855672966,247,31,190,57
windsolar_gen_sh,3,2013,True,jump,0.897,89.7,-0.019642837404909887,0.009891171506985041,0.04704487888840582,0.15273524211629813,247,31,191,56
windsolar_gen_sh,3,2013,True,jump,0.9007,90.07,-0.018183150220373222,0.009245281039204705,0.04921211760534595,0.15300902602297628,247,31,194,53
windsolar_gen_sh,3,2013,True,jump,0.9043,90.42999999999999,-0.02221366990180655,0.009995996636467747,0.026265966622654142,0.15129476342032272,247,31,196,51
windsolar_gen_sh,3,2013,True,jump,0.908,90.8,-0.02254581101772744,0.009835269816712424,0.0218858636515,0.1509446099243071,247,31,198,49
windsolar_gen_sh,3,2013,True,jump,0.9117,91.17,-0.019826814067389124,0.009326659093626377,0.033518110448824294,0.152116336927066,247,31,200,47
windsolar_gen_sh,3,2013,True,jump,0.9153,91.53,-0.020592106717202272,0.009334206574943096,0.027377646749168334,0.15193800669631471,247,31,202,45
windsolar_gen_sh,3,2013,True,jump,0.919,91.9,-0.020592106717202272,0.009334206574943096,0.027377646749168334,0.15193800669631471,247,31,202,45
windsolar_gen_sh,3,2013,True,jump,0.9227,92.27,-0.02326418398403935,0.009951574247045616,0.01940078777801179,0.15105778746399676,247,31,203,44
windsolar_gen_sh,3,2013,True,jump,0.9264,92.64,-0.02326418398403935,0.009951574247045616,0.01940078777801179,0.15105778746399676,247,31,203,44
windsolar_gen_sh,3,2013,True,jump,0.93,93.0,-0.015969569153478736,0.010558383198191752,0.13040636194215147,0.15397971359819101,247,31,206,41
windsolar_gen_sh,3,2013,True,jump,0.9337,93.37,-0.013169639817239195,0.01008942195891411,0.19179350292034647,0.15459871121259827,247,31,209,38
