lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
70.82000000000001,77.38000000000001,-0.0011498938695875638,0.010781615684446768,0.915064107643675,0.03299096084411595,0.015436925289734796,0.03258613059478202,0.11150723340932797,56,25,120
70.39,77.38000000000001,0.0005833961184735064,0.011496783518249561,0.9595292836646212,0.034637164838919265,0.01698404022744691,0.04141063207808745,0.11151195468850711,54,27,120
70.39,77.82,0.0005833961184735064,0.011496783518249561,0.9595292836646212,0.034637164838919265,0.01698404022744691,0.04141063207808745,0.11151195468850711,54,27,120
65.58,77.38000000000001,0.0005710093864513665,0.014848047154123327,0.9693234205365826,0.034694078776293144,0.019197382038328294,0.07072647360824957,0.11151206029987754,43,38,120
66.02,77.82,0.0005710093864513665,0.014848047154123327,0.9693234205365826,0.034694078776293144,0.019197382038328294,0.07072647360824957,0.11151206029987754,43,38,120
66.02,77.38000000000001,0.0005710093864513665,0.014848047154123327,0.9693234205365826,0.034694078776293144,0.019197382038328294,0.07072647360824957,0.11151206029987754,43,38,120
65.58,77.82,0.0005710093864513665,0.014848047154123327,0.9693234205365826,0.034694078776293144,0.019197382038328294,0.07072647360824957,0.11151206029987754,43,38,120
77.38000000000001,83.5,0.03405787440476043,0.011788500735338815,0.003863756939354846,0.03378792125054839,0.01442116089070371,0.01913243631357421,0.11151307019844131,81,33,87
77.82,83.5,0.03405787440476043,0.011788500735338815,0.003863756939354846,0.03378792125054839,0.01442116089070371,0.01913243631357421,0.11151307019844131,81,33,87
77.38000000000001,86.55000000000001,0.034078899870073336,0.011766334796331396,0.0037758465476623536,0.03417474521402811,0.015571998921307359,0.02819029164421474,0.11151350555623889,81,47,73
77.82,86.55000000000001,0.034078899870073336,0.011766334796331396,0.0037758465476623536,0.03417474521402811,0.015571998921307359,0.02819029164421474,0.11151350555623889,81,47,73
60.34,92.23,-0.024886844973107215,0.02110119673138966,0.2382371706494929,-0.05148459387939523,0.027494030095618162,0.06112729492309396,0.11168896460306896,27,130,44
60.34,92.67,-0.024886844973107215,0.02110119673138966,0.2382371706494929,-0.05148459387939523,0.027494030095618162,0.06112729492309396,0.11168896460306896,27,130,44
76.94,92.23,0.01985219073915108,0.01258120062672359,0.11458284561401184,0.0001003705315779251,0.017525090772815617,0.9954303426592965,0.11177565819436938,79,78,44
76.94,92.67,0.01985219073915108,0.01258120062672359,0.11458284561401184,0.0001003705315779251,0.017525090772815617,0.9954303426592965,0.11177565819436938,79,78,44
83.93,92.67,-0.020616979871105615,0.012927590943326262,0.11075596632736,-0.04670459852681019,0.017351991264668874,0.007111043623727896,0.11178908320523501,116,41,44
83.93,92.23,-0.020616979871105615,0.012927590943326262,0.11075596632736,-0.04670459852681019,0.017351991264668874,0.007111043623727896,0.11178908320523501,116,41,44
60.78,90.05,-0.03512473647749402,0.024333286590945007,0.1488838685685167,-0.05847506707351108,0.031489436362074,0.06331484205883658,0.1118157393670736,30,118,53
60.34,90.49000000000001,-0.024951944431362075,0.021239599545540968,0.2400810916863246,-0.05051450523354682,0.027382118609900998,0.06506678187966393,0.11188877923399983,27,123,51
78.25,91.36,0.022890107809908914,0.009028493372630918,0.011234507474514708,0.006361315845218855,0.014177260443488257,0.6536491490442777,0.11190350949603214,82,74,45
78.25,91.8,0.022890107809908914,0.009028493372630918,0.011234507474514708,0.006361315845218855,0.014177260443488257,0.6536491490442777,0.11190350949603214,82,74,45
76.94,90.49000000000001,0.01993215724784591,0.012657422851069995,0.11531633971230039,0.0011877392754125534,0.017516180113472835,0.9459383783475342,0.11196652627551337,79,71,51
78.25,89.18,0.022178980829417827,0.009501519726484095,0.019582313484072692,0.0047437699372268735,0.01768172815652195,0.7884787543922123,0.1120404969318323,82,61,58
78.25,90.92,0.022714463959882435,0.009185966384106535,0.013408338879186398,0.007244030353148801,0.014843185534699373,0.6255233179427455,0.11216107212607954,82,72,47
85.68,92.23,-0.018127145769120438,0.01431440489886819,0.2053853252543346,-0.04278820949716595,0.018196429321379978,0.01869980669489875,0.1121661780200674,123,34,44
85.68,92.67,-0.018127145769120438,0.01431440489886819,0.2053853252543346,-0.04278820949716595,0.018196429321379978,0.01869980669489875,0.1121661780200674,123,34,44
