province,date,value
黑龙江,20170831,18665.2
黑龙江,20170930,18781
黑龙江,20171031,18771
黑龙江,20171130,18875.6
黑龙江,20171231,19208.4
黑龙江,20180131,19579.9
黑龙江,20180228,19741
黑龙江,20180331,19939.8
黑龙江,20180430,20014.7
黑龙江,20180531,19985.5
黑龙江,20180630,19941.3
黑龙江,20180731,19851.1
黑龙江,20180831,19826
黑龙江,20180930,19890.9
黑龙江,20181031,19860.3
黑龙江,20181130,19887.3
黑龙江,20181231,20156.3
黑龙江,20190131,20597.6
黑龙江,20190228,20757.4
黑龙江,20190331,21087.3
黑龙江,20190430,21107.4
黑龙江,20190531,21071.4
黑龙江,20190630,21309.4
黑龙江,20190731,21167.2
黑龙江,20190831,21128.6
黑龙江,20190930,21123.4
黑龙江,20191031,21055.2
黑龙江,20191130,20906.8
黑龙江,20191231,21370
黑龙江,20200131,21650.4
黑龙江,20200229,21761.4
黑龙江,20200331,22180.8
黑龙江,20200430,22378.1
黑龙江,20200531,22411.8
黑龙江,20200630,22610.8
黑龙江,20200731,22616.2
黑龙江,20200831,22578.1
黑龙江,20200930,22570.6
黑龙江,20201031,22442.5
黑龙江,20201130,22540
黑龙江,20201231,22482.3
黑龙江,20210131,22816
黑龙江,20210228,22938
黑龙江,20210331,23365.2
黑龙江,20210430,23511.9
黑龙江,20210531,23708.3
黑龙江,20210630,24037.9
黑龙江,20210731,24005.2
黑龙江,20210831,24173
黑龙江,20210930,24260.3
黑龙江,20211031,24098.1
黑龙江,20211130,24184.6
黑龙江,20211231,24307.8
黑龙江,20220131,24654.1
黑龙江,20220228,24738.2
黑龙江,20220331,25281.6
黑龙江,20220430,25007.5
黑龙江,20220531,25068.6
黑龙江,20220630,25288.9
黑龙江,20220731,25044.1
黑龙江,20220831,25086.4
黑龙江,20220930,25445.4
黑龙江,20221031,25177.7
黑龙江,20221130,25158.5
黑龙江,20221231,25263.1
黑龙江,20230131,25573.6
黑龙江,20230228,25867.4
黑龙江,20230331,26656.7
黑龙江,20230430,26540.1
黑龙江,20230531,26585.7
黑龙江,20230630,26927.1
黑龙江,20230731,26520.8
黑龙江,20230831,26531
黑龙江,20230930,26808.8
黑龙江,20231031,26603.7
黑龙江,20231130,26527.8
黑龙江,20231231,26793.4
黑龙江,20240131,27101.5
黑龙江,20240229,27085.9
黑龙江,20240331,28213.9
黑龙江,20240430,27862.6
黑龙江,20240531,27951.1
黑龙江,20240630,28450
黑龙江,20240731,27941.4
黑龙江,20240831,27974.7
黑龙江,20240930,28333.3
黑龙江,20241031,28097.6
黑龙江,20241130,27807.6
黑龙江,20241231,28262.8
上海,20090131,22332.24
上海,20090228,22736.36
上海,20090331,23663.29
上海,20090430,23848.25
上海,20090531,24098.59
上海,20090630,25097.63
上海,20090731,25268.71
上海,20090831,25668.4
上海,20090930,25949.77
上海,20091031,25897.96
上海,20091130,25945.73
上海,20091231,26196.07
上海,20100131,27018.6
上海,20100228,27453
上海,20100331,27843.4
上海,20100430,28398.8
上海,20100531,28669.5
上海,20100630,28905.5
上海,20100731,29067.3
上海,20100831,29438.4
上海,20100930,29781.6
上海,20101031,30120.8
上海,20101130,30481.8
上海,20101231,30573.3
上海,20110131,30522.12
上海,20110228,30748.12
上海,20110331,31080.48
上海,20110430,31440.13
上海,20110531,31774.58
上海,20110630,32076.16
上海,20110731,32351.32
上海,20110831,32598.74
上海,20110930,32763.72
上海,20111031,32863.6
上海,20111130,33047.54
上海,20111231,33360.1
上海,20120131,33611.5
上海,20120229,33957
上海,20120331,34353.1
上海,20120430,34653.5
上海,20120531,34855.8
上海,20120630,35374.1
上海,20120731,35505.3
