province,province_cn,year,month,technology,generation_ytd_100m_kwh,generation_monthly_100m_kwh,combined_jan_feb_flag,negative_increment_flag,wind_code,wind_name,wind_source
Anhui,安徽,2014,5,hydro,8.44,2.5299999999999994,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,6,hydro,11.01,2.5700000000000003,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,7,hydro,15.03,4.02,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,8,hydro,18.67,3.6400000000000023,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,9,hydro,22.05,3.379999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,10,hydro,24.79,2.7399999999999984,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,11,hydro,26.4,1.6099999999999994,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,12,hydro,28.11,1.7100000000000009,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,1,hydro,2.18,2.18,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,2,hydro,4.02,1.8399999999999994,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,3,hydro,6.19,2.170000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,4,hydro,9.2,3.009999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,5,hydro,12.2,3.0,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,6,hydro,15.5,3.3000000000000007,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,7,hydro,19.4,3.8999999999999986,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,8,hydro,23.0,3.6000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,9,hydro,25.5,2.5,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,10,hydro,27.2549,1.7548999999999992,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,11,hydro,29.4065,2.151600000000002,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2015,12,hydro,30.9114,1.5048999999999992,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,2,hydro,5.3,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,3,hydro,8.6,3.3,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,4,hydro,13.2,4.6,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,5,hydro,18.3,5.100000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,6,hydro,23.6,5.300000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,7,hydro,29.3,5.699999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,8,hydro,33.6,4.300000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,9,hydro,36.8,3.1999999999999957,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,10,hydro,38.9,2.1000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,11,hydro,40.9,2.0,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2016,12,hydro,43.0,2.1000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,2,hydro,6.0,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,3,hydro,9.0,3.0,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
